"Seed","Configuration_ID","Test_Observations","Prefilter_Stack_BA","Standard_Stack_BA","Hard_Vote_BA","XGBoost_BA","Prefilter_Stack_Accuracy","Standard_Stack_Accuracy","Hard_Vote_Accuracy","XGBoost_Accuracy","Direct_Vote_Rate","Cases_Sent_To_Meta","Meta_Route_Accuracy","Direct_Route_Accuracy","Prefilter_Minus_Standard","Prefilter_Minus_Hard_Vote","Prefilter_Minus_XGBoost"
3100,"SpambasePrefilter5of6OOFThresholds",919,0.92873225745658,0.934120733606435,0.934948966940099,0.908157850362538,0.934711643090316,0.933623503808487,0.935799782372144,0.900979325353645,0.928182807399347,66,0.621212121212121,0.958968347010551,-0.00538847614985571,-0.00621670948351971,0.0205744070940417
3200,"SpambasePrefilter5of6OOFThresholds",919,0.952696469841396,0.949242191297103,0.949519922235337,0.948483390697997,0.953210010881393,0.954298150163221,0.949945593035909,0.951033732317737,0.94885745375408,47,0.680851063829787,0.967889908256881,0.00345427854429303,0.00317654760605857,0.00421307914339841
3300,"SpambasePrefilter5of6OOFThresholds",919,0.934740668736423,0.928454526518345,0.928662824722021,0.930044040191634,0.939064200217628,0.939064200217628,0.935799782372144,0.936887921653972,0.951033732317737,45,0.644444444444444,0.954233409610984,0.00628614221807844,0.00607784401440237,0.00469662854478914
3400,"SpambasePrefilter5of6OOFThresholds",919,0.952351785909123,0.945309322832459,0.947863455568009,0.946343374629279,0.951033732317737,0.940152339499456,0.945593035908596,0.946681175190424,0.954298150163221,42,0.666666666666667,0.964652223489168,0.00704246307666367,0.00448833034111307,0.00600841127984364
3500,"SpambasePrefilter5of6OOFThresholds",919,0.9514541198409,0.951868236507732,0.950625886507236,0.95504478411379,0.949945593035909,0.951033732317737,0.947769314472252,0.954298150163221,0.952121871599565,44,0.636363636363636,0.965714285714286,-0.000414116666831887,0.000828233333663997,-0.00359066427289045
3600,"SpambasePrefilter5of6OOFThresholds",919,0.936950117539701,0.93853963121299,0.940749080016267,0.933431365741889,0.942328618063112,0.940152339499456,0.94341675734494,0.929270946681175,0.953210010881393,43,0.581395348837209,0.960045662100457,-0.0015895136732893,-0.00379896247656641,0.00351875179781191
3700,"SpambasePrefilter5of6OOFThresholds",919,0.951729371038615,0.947860975827489,0.949450489500779,0.933776049674162,0.953210010881393,0.953210010881393,0.951033732317737,0.931447225244831,0.960826985854189,36,0.777777777777778,0.960362400906002,0.00386839521112514,0.00227888153783584,0.0179533213644525
3800,"SpambasePrefilter5of6OOFThresholds",919,0.938817362151224,0.951868236507732,0.950556453772677,0.943789241893728,0.935799782372144,0.951033732317737,0.94885745375408,0.941240478781284,0.947769314472252,48,0.5,0.959816303099885,-0.0130508743565073,-0.0117390916214528,-0.00497187974250379
3900,"SpambasePrefilter5of6OOFThresholds",919,0.943580943690052,0.943580943690052,0.944270311554599,0.935499469335529,0.944504896626768,0.944504896626768,0.94885745375408,0.942328618063112,0.959738846572361,37,0.594594594594595,0.959183673469388,0,-0.000689367864546653,0.00808147435452355
4000,"SpambasePrefilter5of6OOFThresholds",919,0.928042889592033,0.924866341985975,0.917615580705635,0.922242776515865,0.930359085963003,0.927094668117519,0.919477693144722,0.922742110990207,0.951033732317737,45,0.733333333333333,0.940503432494279,0.00317654760605846,0.0104273088863981,0.00580011307616768
